Date received,Product,Sub-product,Issue,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Processing Days
2012-06-28,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, LLC.",WA,98513.0,,Web,7/03/12,Closed with explanation,Yes,No,109918,5 days 00:00:00.000000000
2012-06-03,Bank account or service,Savings account,"Account opening, closing, or management",CAPITAL ONE FINANCIAL CORPORATION,NY,11706.0,,Referral,6/03/12,Closed with explanation,Yes,No,91183,0 days 00:00:00.000000000
2012-06-14,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","Seterus, Inc.",FL,34609.0,,Web,6/15/12,Closed with explanation,Yes,Yes,100902,1 days 00:00:00.000000000
2012-06-21,Bank account or service,Checking account,Deposits and withdrawals,CAPITAL ONE FINANCIAL CORPORATION,NY,10163.0,,Referral,6/27/12,Closed with explanation,Yes,No,106149,6 days 00:00:00.000000000
2012-06-25,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",WELLS FARGO & COMPANY,MA,1906.0,,Web,6/28/12,Closed with explanation,Yes,No,107669,3 days 00:00:00.000000000
2012-06-11,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92675.0,,Referral,6/14/12,Closed with non-monetary relief,Yes,No,96219,
2012-06-06,Consumer Loan,Vehicle loan,Managing the loan or lease,ALLY FINANCIAL INC.,TN,38109.0,,Referral,6/15/12,Closed with explanation,Yes,No,95764,9 days 00:00:00.000000000
2012-06-21,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92018.0,,Referral,6/22/12,Closed with non-monetary relief,Yes,Yes,104146,1 days 00:00:00.000000000
2012-06-20,Credit card,,Closing/Cancelling account,SYNCHRONY FINANCIAL,IL,61802.0,,Referral,6/28/12,Closed with explanation,Yes,Yes,104180,8 days 00:00:00.000000000
2012-06-29,Credit card,,Credit determination,FIRST NATIONAL BANK OF OMAHA,WA,98205.0,,Referral,7/05/12,Closed with non-monetary relief,Yes,No,110523,6 days 00:00:00.000000000
2012-06-27,Credit card,,Identity theft / Fraud / Embezzlement,DISCOVER BANK,MP,96950.0,Older American,Web,7/31/12,Closed with monetary relief,Yes,No,108698,34 days 00:00:00.000000000
2012-06-20,Bank account or service,Checking account,"Making/receiving payments, sending money",JPMORGAN CHASE & CO.,IL,60136.0,,Web,6/21/12,Closed with explanation,Yes,No,105141,1 days 00:00:00.000000000
2012-06-25,Bank account or service,Checking account,"Account opening, closing, or management",BB&T CORPORATION,FL,33756.0,Older American,Phone,6/28/12,Closed with explanation,Yes,Yes,107636,3 days 00:00:00.000000000
2012-06-16,Credit card,,Billing disputes,"CITIBANK, N.A.",NY,10010.0,,Web,6/18/12,Closed with monetary relief,Yes,Yes,102296,2 days 00:00:00.000000000
2012-06-04,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",MO,63114.0,,Referral,6/11/12,Closed with explanation,Yes,No,93890,7 days 00:00:00.000000000
2012-06-05,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","CITIBANK, N.A.",KY,42347.0,,Web,9/27/12,Closed with explanation,Yes,No,94401,114 days 00:00:00.000000000
2012-06-09,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,93551.0,Servicemember,Web,6/15/12,Closed with explanation,Yes,No,97928,6 days 00:00:00.000000000
2012-06-19,Credit card,,Late fee,DISCOVER BANK,OH,43123.0,,Web,6/21/12,Closed with explanation,Yes,Yes,104618,2 days 00:00:00.000000000
2012-06-08,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",OK,74053.0,,Web,6/13/12,Closed with explanation,No,No,97473,5 days 00:00:00.000000000
2012-06-26,Bank account or service,Checking account,Deposits and withdrawals,CAPITAL ONE FINANCIAL CORPORATION,PA,15210.0,,Web,6/28/12,Closed with explanation,Yes,No,107941,2 days 00:00:00.000000000
2012-06-08,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,93065.0,,Referral,6/14/12,Closed with explanation,No,No,98575,6 days 00:00:00.000000000
2012-06-27,Credit card,,Credit line increase/decrease,"BANK OF AMERICA, NATIONAL ASSOCIATION",CO,80033.0,,Referral,6/29/12,Closed with explanation,Yes,No,109238,2 days 00:00:00.000000000
2012-06-08,Mortgage,Other mortgage,Other,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33071.0,,Postal mail,6/13/12,Closed with explanation,No,No,98883,5 days 00:00:00.000000000
2012-06-19,Student loan,Non-federal student loan,Repaying your loan,DISCOVER BANK,PA,18938.0,,Web,6/25/12,Closed with explanation,Yes,No,104260,6 days 00:00:00.000000000
2012-06-19,Credit card,,Other fee,AMERICAN EXPRESS COMPANY,TX,75080.0,,Web,6/21/12,Closed with explanation,Yes,No,103747,2 days 00:00:00.000000000
2012-06-12,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","VANDERBILT MORTGAGE & FINANCE, INC",VA,24092.0,,Postal mail,6/20/12,Closed with explanation,Yes,No,99867,8 days 00:00:00.000000000
2012-06-15,Student loan,Non-federal student loan,Repaying your loan,ACCESS GROUP INC.,OH,45414.0,,Web,7/02/12,Closed with explanation,Yes,No,102696,17 days 00:00:00.000000000
2012-06-27,Credit card,,Identity theft / Fraud / Embezzlement,CAPITAL ONE FINANCIAL CORPORATION,CA,92803.0,,Postal mail,7/05/12,Closed with explanation,Yes,Yes,109303,8 days 00:00:00.000000000
2012-03-11,Credit card,,Transaction issue,"CITIBANK, N.A.",TX,76133.0,,Referral,3/22/12,Closed with relief,Yes,No,33632,11 days 00:00:00.000000000
2012-03-27,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",OCWEN LOAN SERVICING LLC,MA,1201.0,,Referral,4/10/12,Closed with explanation,Yes,Yes,41927,14 days 00:00:00.000000000
2012-03-06,Mortgage,Other mortgage,"Application, originator, mortgage broker",WELLS FARGO & COMPANY,CA,93215.0,,Referral,3/06/12,Closed without relief,Yes,No,29334,0 days 00:00:00.000000000
2012-03-21,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",HSBC NORTH AMERICA HOLDINGS INC.,NY,10003.0,,Referral,3/22/12,Closed without relief,Yes,Yes,39698,1 days 00:00:00.000000000
2012-03-05,Credit card,,APR or interest rate,BARCLAYS BANK DELAWARE,KY,41522.0,,Web,3/07/12,Closed with relief,Yes,No,30294,2 days 00:00:00.000000000
2012-03-29,Credit card,,Identity theft / Fraud / Embezzlement,JPMORGAN CHASE & CO.,NC,27405.0,,Postal mail,4/02/12,Closed without relief,Yes,No,42714,4 days 00:00:00.000000000
2012-03-06,Credit card,,Other,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91943.0,Older American,Web,3/07/12,Closed without relief,Yes,No,31211,1 days 00:00:00.000000000
2012-04-03,Credit card,,Late fee,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90291.0,,Referral,4/05/12,Closed with relief,Yes,No,40742,
2012-03-26,Credit card,,Convenience checks,JPMORGAN CHASE & CO.,PA,15074.0,,Referral,3/26/12,Closed with relief,Yes,No,41071,0 days 00:00:00.000000000
2012-03-21,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","SUNTRUST BANKS, INC.",GA,30248.0,,Referral,3/22/12,Closed with relief,Yes,No,39783,1 days 00:00:00.000000000
2012-03-08,Bank account or service,Checking account,"Account opening, closing, or management",U.S. BANCORP,ID,83702.0,,Web,3/09/12,Closed without relief,Yes,No,32065,1 days 00:00:00.000000000
2012-03-21,Bank account or service,Savings account,Deposits and withdrawals,"CITIBANK, N.A.",NY,11434.0,,Referral,3/22/12,Closed with relief,Yes,No,17789,1 days 00:00:00.000000000
2012-03-06,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NC,27282.0,,Phone,3/23/12,Closed without relief,Yes,Yes,30594,17 days 00:00:00.000000000
2012-03-07,Mortgage,Other mortgage,"Application, originator, mortgage broker","BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30106.0,,Referral,3/12/12,Closed without relief,Yes,No,31423,5 days 00:00:00.000000000
